['X'],['Y'],['Percent'],['Total Shots'],['Goals'],Adjustment,Frequency after Adjustment,Rating
93,7,0.4,10,4,0.17,0.068,0.27
93,6,0,5,0,0.085,0,0.05
93,5,0,3,0,0.051,0,0.05
93,4,0,1,0,0.017,0,0.05
93,3,0,0,0,0,0,0.05
93,2,0,0,0,0,0,0.05
93,1,0,0,0,0,0,0.05
93,0,0,0,0,0,0,0.05
93,-1,0,0,0,0,0,0.05
93,-2,0,1,0,0.017,0,0.05
93,-3,0,1,0,0.017,0,0.05
93,-4,0,1,0,0.017,0,0.05
93,-5,0.3333333333,3,1,0.051,0.017,0.07
93,-6,0,0,0,0,0,0.05
93,-7,0.2,5,1,0.085,0.017,0.07
93,-8,0.2,5,1,0.085,0.017,0.07
93,-9,0,5,0,0.085,0,0.05
93,-10,0.09090909091,11,1,0.187,0.017,0.07
93,-11,0,5,0,0.085,0,0.05
93,-12,0,4,0,0.068,0,0.05
93,-13,0,4,0,0.068,0,0.05
93,-14,0,3,0,0.051,0,0.05
93,-15,0,4,0,0.068,0,0.05
93,-16,0,0,0,0,0,0.05
93,-17,0,0,0,0,0,0.05
93,-18,0,7,0,0.119,0,0.05
93,-19,0,2,0,0.034,0,0.05
93,-20,0,8,0,0.136,0,0.05
93,-21,0.3333333333,3,1,0.051,0.017,0.07
93,-22,0,0,0,0,0,0.05
93,-23,0,6,0,0.102,0,0.05
93,-24,0,4,0,0.068,0,0.05
93,-25,0,1,0,0.017,0,0.05
93,-26,0,3,0,0.051,0,0.05
93,-27,0,0,0,0,0,0.05
93,-28,0.25,4,1,0.068,0.017,0.07
93,-29,0.5,4,2,0.068,0.034,0.14
93,-30,0,0,0,0,0,0.05
93,-31,0,1,0,0.017,0,0.05
93,-32,0,4,0,0.068,0,0.05
93,-33,0.3333333333,3,1,0.051,0.017,0.07
93,-34,0,1,0,0.017,0,0.05
93,-35,0,0,0,0,0,0.05
93,-36,0,0,0,0,0,0.05
93,-37,0,0,0,0,0,0.05
93,-38,1,1,1,0.017,0.017,0.07
93,-39,0,0,0,0,0,0.05
93,-40,0,0,0,0,0,0.05
93,42,0,0,0,0,0,0.05
93,41,0,0,0,0,0,0.05
93,40,0,0,0,0,0,0.05
93,-40,0,0,0,0,0,0.05
93,-41,0,0,0,0,0,0.05
93,-42,0,0,0,0,0,0.05
92,40,0,0,0,0,0,0.05
92,39,0,0,0,0,0,0.05
92,38,0,0,0,0,0,0.05
